nom_fichier;top_trois_mots;url(s);resultat_test_URL;date_test_URL;responsable_URL;internet_archive_status;internet_archive_dispo;internet_archive_url;internet_archive_timestamp
content/ID185.eml;ultérieurement,école,électronique
content/ID216.eml;école,écrire,étape
content/ID278.eml;école,état,électronique
content/ID23.eml;équipe,étudiant,évènement;https://we.tl/t-ZbLa6JxbAY;303;2021-05-20 16:46:01.382026;we.tl;None;None;None;None
content/ID219.eml;to,you,your
content/ID237.eml;souhaiter,soulagement,tirer
content/ID233.eml;veinard,veinard,école
content/ID249.eml;école,écrire,électronique
content/ID119.eml;étudiant,étudier,évènement;https://archives.seine-et-marne.fr/vie-politique-armee-archives-de-jean-jacques-germain-pelet,http://archives.seine-et-marne.fr/entreprises-papeteries-papeteries-sainte-marie-boissy-le-chatel,http://archives.seine-et-marne.fr/entreprises-papeteries-s-a-des-papeteries-du-marais-et-de-sainte-marie,https://archives.seine-et-marne.fr/entreprises-papeterie-famille-papeteries-de-courtalin-et-du-marais-pommeuse-faremoutiers,http://www.seine-et-marne.fr,https://www.facebook.com/departementdeseineetmarne,https://twitter.com/departement77;301,301,301,301,301,302,200;2021-05-20 16:46:03.358208,2021-05-20 16:46:03.412555,2021-05-20 16:46:03.466165,2021-05-20 16:46:03.972757,2021-05-20 16:46:04.048239,2021-05-20 16:46:04.172682,2021-05-20 16:46:04.483343;archives.seine-et-marne.fr,archives.seine-et-marne.fr,archives.seine-et-marne.fr,archives.seine-et-marne.fr,www.seine-et-marne.fr,www.facebook.com,twitter.com;200,None,200,None,200,200,200;True,None,True,None,True,True,True;http://web.archive.org/web/20200809235919/http://www.archives.seine-et-marne.fr/vie-politique-armee-archives-de-jean-jacques-germain-pelet,None,http://web.archive.org/web/20200809050949/http://www.archives.seine-et-marne.fr/entreprises-papeteries-s-a-des-papeteries-du-marais-et-de-sainte-marie,None,http://web.archive.org/web/20200602120954/https://seine-et-marne.fr/,http://web.archive.org/web/20210505044907/https://www.facebook.com/departementdeseineetmarne,http://web.archive.org/web/20210505093748/https://twitter.com/departement77;20200809235919,None,20200809050949,None,20200602120954,20210505044907,20210505093748
content/ID144.eml;île,ŒNS,Œnologiquement;https://courrier.chartes.psl.eu/oens.ens.fr,https://www.facebook.com/clubOENS;403,302;2021-05-20 16:46:19.963416,2021-05-20 16:46:20.083250;courrier.chartes.psl.eu,www.facebook.com;None,None;None,None;None,None;None,None
content/ID290.eml;école,élever,évaluer
content/ID177.eml;élève,énergie,œuvre
content/ID136.eml;élève,énergie,œuvre
content/ID196.eml;établir,établissement,étudiant;http://www.izly.fr/images/mailings/logo_izly.png,http://www.izly.fr/images/mailings/logo_cnous.png,http://www.izly.fr/images/mailings/profil_ayant_droit.png,http://www.izly.fr/images/mailings/sep_ad.png,https://mon-espace.izly.fr/activation?token=b31nueQfNsRqMkDZUUjrt3J6o8sXd9PFQkJqVWKwer3Qo8tOcO4I90YUr33zF91ysTNH9Sg3DWE%3d,http://www.izly.fr/images/mailings/picto_envoyer.png,http://www.izly.fr/images/mailings/picto_recharger.png,http://www.izly.fr/images/mailings/picto_bonsplans.png,http://www.izly.fr/images/mailings/icon_espace_perso.png,https://mon-espace.izly.fr/Home/Faq,http://www.izly.fr,http://www.izly.fr/images/mailings/icon_web.png,https://itunes.apple.com/fr/app/izly/id956519643,http://www.izly.fr/images/mailings/icon_apple.png,https://play.google.com/store/apps/details?id=fr.smoney.android.izly.REC&ah=eAlJ7z777Xjjyvz2UpC24kvZDkM,http://www.izly.fr/images/mailings/icon_play_store.png,http://www.windowsphone.com/fr-fr/store/app/izly/039020a5-5caa-40a2-be6a-2ff26cc651be,http://www.izly.fr/images/mailings/icon_Windows.png,https://mon-espace.izly.fr/activation/activate,https://mon-espace.izly.fr/activation/DeclineIzly?token=b31nueQfNsRqMkDZUUjrt3J6o8sXd9PFQkJqVWKwer3Qo8tOcO4I90YUr33zF91ysTNH9Sg3DWE%3d;301,301,301,301,302,301,301,301,301,302,301,301,301,301,200,301,301,301,302,302;2021-05-20 16:46:38.697863,2021-05-20 16:46:38.762486,2021-05-20 16:46:38.832859,2021-05-20 16:46:38.902452,2021-05-20 16:46:39.132950,2021-05-20 16:46:39.198309,2021-05-20 16:46:39.266617,2021-05-20 16:46:39.329540,2021-05-20 16:46:39.392124,2021-05-20 16:46:39.575241,2021-05-20 16:46:39.638820,2021-05-20 16:46:39.702088,2021-05-20 16:46:40.018183,2021-05-20 16:46:40.088441,2021-05-20 16:46:40.528084,2021-05-20 16:46:40.587590,2021-05-20 16:46:40.655080,2021-05-20 16:46:40.719670,2021-05-20 16:46:40.890634,2021-05-20 16:46:41.080969;www.izly.fr,www.izly.fr,www.izly.fr,www.izly.fr,mon-espace.izly.fr,www.izly.fr,www.izly.fr,www.izly.fr,www.izly.fr,mon-espace.izly.fr,www.izly.fr,www.izly.fr,itunes.apple.com,www.izly.fr,play.google.com,www.izly.fr,www.windowsphone.com,www.izly.fr,mon-espace.izly.fr,mon-espace.izly.fr;None,None,None,None,None,None,None,None,None,200,200,None,200,None,200,None,None,None,None,None;None,None,None,None,None,None,None,None,None,True,True,None,True,None,True,None,None,None,None,None;None,None,None,None,None,None,None,None,None,http://web.archive.org/web/20210130143615/https://mon-espace.izly.fr/Home/Faq,http://web.archive.org/web/20210425101257/https://www.izly.fr/,None,http://web.archive.org/web/20170529210308/https://itunes.apple.com/fr/app/Izly/id956519643,None,http://web.archive.org/web/20210415170021/https://play.google.com/store/apps/details?id=fr.smoney.android.izly.REC,None,None,None,None,None;None,None,None,None,None,None,None,None,None,20210130143615,20210425101257,None,20170529210308,None,20210415170021,None,None,None,None,None
content/ID263.eml;également,électronique,étude
content/ID286.eml;écrire,électronique,étage
content/ID54.eml;élève,étudiant,étudiant
content/ID298.eml;vivre,écouter,épître
content/ID200.eml;programme,recrutement,renseignement;https://www.inha.fr/fr/l-institut/recrutements/moniteur-der.html;500;2021-05-20 16:46:57.508561;www.inha.fr;None;None;None;None
content/ID302.eml;élève,étudiant,éventuel
content/ID310.eml;école,étudiant,évoquer;https://we.tl/t-MMdhOtnDg1,https://fr.linkedin.com/in/jean-damien-genero;303,999;2021-05-20 16:46:58.585482,2021-05-20 16:46:59.575819;we.tl,fr.linkedin.com;None,None;None,None;None,None;None,None
content/ID86.eml;également,élever,étudiant
content/ID274.eml;trouver,vasseur,école
content/ID204.eml;établissement,étudiant,étudiant;https://doodle.com/poll/xhtzuvayvk94a4i2,http://ademec.com;404,301;2021-05-20 16:47:02.236947,2021-05-20 16:47:02.330079;doodle.com,ademec.com;None,200;None,True;None,http://web.archive.org/web/20210410195659/https://www.ademec.com/;None,20210410195659
content/ID35.eml;étudiant,étudiant,éventuellement
content/ID314.eml;école,étudiant,étudiant
content/ID42.eml;trouver,vasseur,école
content/ID294.eml;service,vendredi,école
content/ID148.eml;valider,école,étudiant;https://enc-etud.helvetius.net/pegasus;301;2021-05-20 16:47:05.199261;enc-etud.helvetius.net;None;None;None;None
content/ID103.eml;souhaiter,super,vendredi
content/ID132.eml;élever,éphémère,événement;https://quefaire.paris.fr/84421/visites-les-coulisses-de-la-bibilotheque-historique,https://quefaire.paris.fr/84420/paris-en-jeux.%20,https://quefaire.paris.fr/84420/paris-en-jeux.,http://www.paris.fr;200,404,404,301;2021-05-20 16:47:06.360631,2021-05-20 16:47:06.463333,2021-05-20 16:47:06.605244,2021-05-20 16:47:06.657696;quefaire.paris.fr,quefaire.paris.fr,quefaire.paris.fr,www.paris.fr;None,None,None,200;None,None,None,True;None,None,None,http://web.archive.org/web/20210519182226/https://www.paris.fr/;None,None,None,20210519182226
content/ID13.eml;école,électronique,étude
content/ID306.eml;élève,étudiant,évènement;https://framaforms.org/inscription-datathon-des-archives-nationales-1539072416;404;2021-05-20 16:47:14.997396;framaforms.org;None;None;None;None
content/ID31.eml;école,également,élever
content/ID192.eml;école,écrire,électronique
content/ID50.eml;école,écrire,électronique
content/ID256.eml;serveur,transférer,trouver
content/ID173.eml;école,écran,électronique
content/ID140.eml;votre_mel,école,élever
content/ID208.eml;étranger,étude,étudiant
content/ID46.eml;test
content/ID27.eml;élément,étranger,événement;https://www.instagram.com/ecoledeschartes;301;2021-05-20 16:47:16.984863;www.instagram.com;None;None;None;None
content/ID67.eml;équipe,étudiant,étudiant
content/ID245.eml;école,écrire,étape
content/ID158.eml;étudiant,événement,événement
content/ID267.eml;élevé,étranger,étudier;https://www.hse.ru/en/ma/ling/about);404;2021-05-20 16:47:19.441102;www.hse.ru;None;None;None;None
content/ID75.eml;écrire,éditeur,électronique
content/ID162.eml;
content/ID181.eml;écrire,écrire,étudiant;http://rdv-histoire.com,http://bit.do/kleio,http://image.noelshack.com/fichiers/2019/39/7/1569722281-kleiologo-ombre2-60x60.png],http://image.noelshack.com/fichiers/2019/39/5/1569552567-button-inscription-20x70.png],https://bit.do/kleio_inscription,https://s3.amazonaws.com/rkjha/signature-maker/icons/facebook_circle_color-20.png],https://www.facebook.com/kleionanterre,https://s3.amazonaws.com/rkjha/signature-maker/icons/twitter_circle_color-20.png],https://twitter.com/kleionanterre;200,301,404,404,301,403,302,403,200;2021-05-20 16:47:24.148927,2021-05-20 16:47:24.764942,2021-05-20 16:47:24.844430,2021-05-20 16:47:24.905215,2021-05-20 16:47:25.483755,2021-05-20 16:47:26.107143,2021-05-20 16:47:26.251874,2021-05-20 16:47:26.926280,2021-05-20 16:47:27.326493;rdv-histoire.com,bit.do,image.noelshack.com,image.noelshack.com,bit.do,s3.amazonaws.com,www.facebook.com,s3.amazonaws.com,twitter.com;200,None,None,None,None,None,None,None,None;True,None,None,None,None,None,None,None,None;http://web.archive.org/web/20210512140953/http://rdv-histoire.com/,None,None,None,None,None,None,None,None;20210512140953,None,None,None,None,None,None,None,None
content/ID241.eml;élever,élément,étudiant
content/ID71.eml;этом,эту,языка
content/ID229.eml;élève,étudiant,étudiant
content/ID96.eml;école,électronique,évoquer;https://courrier.chartes.psl.eu/).;403;2021-05-20 16:47:37.173514;courrier.chartes.psl.eu;None;None;None;None
content/ID79.eml;élève,étudiant,éventuel
content/ID166.eml;Antony,France,test
content/ID282.eml;élève,étudiant,étudier;http://www.chartes.psl.eu/fr/maxance-habran,http://www.chartes.psl.eu/fr;403,200;2021-05-20 16:47:38.279167,2021-05-20 16:47:38.330358;www.chartes.psl.eu,www.chartes.psl.eu;None,200;None,True;None,http://web.archive.org/web/20210514060005/http://www.chartes.psl.eu/fr;None,20210514060005
