File;Content.DescriptionLevel;Content.Title
"Inbox/0000000721-Service Transcriptions - réf Nochez.eml";"Item";"0000000721-Service Transcriptions - réf Nochez.eml"
"Inbox/0000000754-Cours n°411 - présentation de la Ee séance.eml";"Item";"0000000754-Cours n°411 - présentation de la Ee séance.eml"
"Inbox/0000000760-Fwd_ [OENS] Château Lagrange.eml";"Item";"0000000760-Fwd_ [OENS] Château Lagrange.eml"
"Inbox/0000000761-élection de vos délégués (4 novembre 2019).eml";"Item";"0000000761-élection de vos délégués (4 novembre 2019).eml"
"Inbox/0000000780-Fwd_ Propositions de fonds pour thèses d_Ecole.eml";"Item";"0000000780-Fwd_ Propositions de fonds pour thèses d'Ecole.eml"
"Inbox/0000000781-Fwd_ Bibliothèque de Sorbonne Université _ proposition de stage.eml";"Item";"0000000781-Fwd_ Bibliothèque de Sorbonne Université _ proposition de stage.eml"
"Inbox/0000000800-Fwd_ TR_ Voyage pour Blois _ dernières places.eml";"Item";"0000000800-Fwd_ TR_ Voyage pour Blois _ dernières places.eml"
"Inbox/0000000836-Re_ Renseignements stage TNAH.eml";"Item";"0000000836-Re_ Renseignements stage TNAH.eml"
"Inbox/0000000838-cours d_Olivier Guyotjeannin.eml";"Item";"0000000838-cours d'Olivier Guyotjeannin.eml"
"Inbox/0000000850-Re_ Renseignements stage M1 TNAH.eml";"Item";"0000000850-Re_ Renseignements stage M1 TNAH.eml"
"Inbox/0000000853-Invitation _ WE Aumônerie _ 16-17 novembre 2019.eml";"Item";"0000000853-Invitation _ WE Aumônerie _ 16-17 novembre 2019.eml"
"Inbox/0000000854-WE aumônerie 16-17 novembre 2019 + KARTHEO.eml";"Item";"0000000854-WE aumônerie 16-17 novembre 2019 + KARTHEO.eml"
"Inbox/0000000855-Re_ Упражнение русского языка.eml";"Item";"0000000855-Re_ Упражнение русского языка.eml"
"Inbox/0000000871-Re_ Renseignements stage M1 TNAH.eml";"Item";"0000000871-Re_ Renseignements stage M1 TNAH.eml"
"Inbox/0000000880-MESSE DES ETUDIANTS - MARDI 12 NOVEMBRE.eml";"Item";"0000000880-MESSE DES ETUDIANTS - MARDI 12 NOVEMBRE.eml"
"Inbox/0000000889-AG.eml";"Item";"0000000889-AG.eml"
"Inbox/0000000906-Mardi 15 octobre.eml";"Item";"0000000906-Mardi 15 octobre.eml"
"Inbox/0000000922-Re_ AG.eml";"Item";"0000000922-Re_ AG.eml"
"Inbox/0000000940-Projet de valorisation des livres anciens de l_ENC.eml";"Item";"0000000940-Projet de valorisation des livres anciens de l'ENC.eml"
"Inbox/0000000941-cours d_Olivier Guyotjeannin.eml";"Item";"0000000941-cours d'Olivier Guyotjeannin.eml"
"Inbox/0000000944-___16-17 Oct - Forum franco-chinois - _Patrimoine & Humanités Numériques____.eml";"Item";"0000000944-___16-17 Oct - Forum franco-chinois - _Patrimoine & Humanités Numériques____.eml"
"Inbox/0000000945-Rentrée du Ciné-Chartes _ 18 oct. 17H15.eml";"Item";"0000000945-Rentrée du Ciné-Chartes _ 18 oct. 17H15.eml"
"Inbox/0000000946-Conférences au château de Malmaison.eml";"Item";"0000000946-Conférences au château de Malmaison.eml"
"Inbox/0000000947-Fwd_ Devoir du cours 1101.eml";"Item";"0000000947-Fwd_ Devoir du cours 1101.eml"
"Inbox/0000000965-RE_Participation _Les Archives au défi du numérique_ (17 et 18 octobre 2019).eml";"Item";"0000000965-RE_Participation _Les Archives au défi du numérique_ (17 et 18 octobre 2019).eml"
"Inbox/0000000967-Re_ Formulaire Stage MEAE.eml";"Item";"0000000967-Re_ Formulaire Stage MEAE.eml"
"Inbox/0000000980-Supports de cours - Archéologie du livre ancien.eml";"Item";"0000000980-Supports de cours - Archéologie du livre ancien.eml"
"Inbox/0000000981-Calendrier club danse - première séance ce jeudi !.eml";"Item";"0000000981-Calendrier club danse - première séance ce jeudi !.eml"
"Inbox/0000000982-Partage créé_ Activités du BD2E partagé par Bureau ETUDIANTS.eml";"Item";"0000000982-Partage créé_ Activités du BD2E partagé par Bureau ETUDIANTS.eml"
"Inbox/0000000984-Re_ Mardi 15 octobre.eml";"Item";"0000000984-Re_ Mardi 15 octobre.eml"
"Inbox/0000001000-invitation soirée péguy à la brasserie Lipp 18 novembre 2019.eml";"Item";"0000001000-invitation soirée péguy à la brasserie Lipp 18 novembre 2019.eml"
"Inbox/0000001038-Re_ Atelier ADEMEC 15_10_19.eml";"Item";"0000001038-Re_ Atelier ADEMEC 15_10_19.eml"
"Inbox/0000001040-Cours n°411 du 16 octobre 2019.eml";"Item";"0000001040-Cours n°411 du 16 octobre 2019.eml"
"Inbox/0000001041-Re_ Atelier ADEMEC 15_10_19.eml";"Item";"0000001041-Re_ Atelier ADEMEC 15_10_19.eml"
"Inbox/0000001042-Re_ Formulaire Stage MEAE.eml";"Item";"0000001042-Re_ Formulaire Stage MEAE.eml"
"Inbox/0000001043-Re_ Formulaire Stage MEAE.eml";"Item";"0000001043-Re_ Formulaire Stage MEAE.eml"
"Inbox/0000001044-Re_ Atelier ADEMEC 15_10_19.eml";"Item";"0000001044-Re_ Atelier ADEMEC 15_10_19.eml"
"Inbox/0000001045-Bibliothèques en débat - lundi 18 novembre 2019 - Invitation.eml";"Item";"0000001045-Bibliothèques en débat - lundi 18 novembre 2019 - Invitation.eml"
"Inbox/0000001046-Retard.eml";"Item";"0000001046-Retard.eml"
"Inbox/0000001047-Re_ Fwd_ Renouvellement abonnement.eml";"Item";"0000001047-Re_ Fwd_ Renouvellement abonnement.eml"
"Inbox/0000001060-Service Transcriptions - réf. Chassériaux.eml";"Item";"0000001060-Service Transcriptions - réf. Chassériaux.eml"
"Inbox/0000001080-Information sur les ordinateurs.eml";"Item";"0000001080-Information sur les ordinateurs.eml"
"Inbox/0000001100-Rentrée du club jeux.eml";"Item";"0000001100-Rentrée du club jeux.eml"
"Inbox/0000001120-Prix Nobel d_Esther Duflo_ Formations et recherche en Intelligence Artificielle_ 6 lauréates L_Oréal-UNESCO 2.eml";"Item";"0000001120-Prix Nobel d'Esther Duflo, Formations et recherche en Intelligence Artificielle, 6 lauréates L'Oréal-UNESCO 2.eml"
"Inbox/0000001121-Colloque du 17 Octobre.eml";"Item";"0000001121-Colloque du 17 Octobre.eml"
"Inbox/0000001122-Newsletter du Ciné-Chartes.eml";"Item";"0000001122-Newsletter du Ciné-Chartes.eml"
"Inbox/0000001123-ENC - Premiers ateliers de dépôt dans HAL du 21 au 24 octobre prochains.eml";"Item";"0000001123-ENC - Premiers ateliers de dépôt dans HAL du 21 au 24 octobre prochains.eml"
"Inbox/0000001140-Cours n°411 du 16 octobre 2019 - présentation.eml";"Item";"0000001140-Cours n°411 du 16 octobre 2019 - présentation.eml"
"Inbox/0000001141-Soirée jeu de rôles lundi 28 octobre !!.eml";"Item";"0000001141-Soirée jeu de rôles lundi 28 octobre !!.eml"
"Inbox/0000001160-Salutations d_Eventbrite.eml";"Item";"0000001160-Salutations d'Eventbrite.eml"
"Inbox/0000001161-Vos billets pour IA et institutions patrimoniales _ enjeux_ défis et opportunités.eml";"Item";"0000001161-Vos billets pour IA et institutions patrimoniales _ enjeux, défis et opportunités.eml"
"Inbox/0000001162-Confirmation de votre inscription.eml";"Item";"0000001162-Confirmation de votre inscription.eml"
"Inbox/0000001163-Monsieur Victor MEYNAUD Accusé de réception de votre candidature à l_offre 2019-271093 – Stage long - Ambassa.eml";"Item";"0000001163-Monsieur Victor MEYNAUD Accusé de réception de votre candidature à l'offre 2019-271093 – Stage long - Ambassa.eml"
"Inbox/0000001166-Appel à volontaires pour représenter l_Ecole des chartes - Forum des Grandes Écoles des lycées.eml";"Item";"0000001166-Appel à volontaires pour représenter l'Ecole des chartes - Forum des Grandes Écoles des lycées.eml"
"Inbox/0000001174-Retrouvez votre paiement dans votre espace HelloAsso.eml";"Item";"0000001174-Retrouvez votre paiement dans votre espace HelloAsso.eml"
"Inbox/0000001175-Confirmation de votre adhésion à Bureau des élèves et des étudiants de l_Ecole nationale des chartes (BD2E-EN.eml";"Item";"0000001175-Confirmation de votre adhésion à Bureau des élèves et des étudiants de l'Ecole nationale des chartes (BD2E-EN.eml"
"Inbox/0000001176-Re_ Renseignements cotisation.eml";"Item";"0000001176-Re_ Renseignements cotisation.eml"
"Inbox/0000001178-Confirmation de votre adhésion à ADEMEC.eml";"Item";"0000001178-Confirmation de votre adhésion à ADEMEC.eml"
"Inbox/0000001179-Compte perso. du site Ademec.eml";"Item";"0000001179-Compte perso. du site Ademec.eml"
"Inbox/0000001180-Fwd_ [OENS] Le Domaine ClÃ©ment - 23 octobre.eml";"Item";"0000001180-Fwd_ [OENS] Le Domaine ClÃ©ment - 23 octobre.eml"
"Inbox/0000001181-cours de valse en 2 niveaux.eml";"Item";"0000001181-cours de valse en 2 niveaux.eml"
"Inbox/0000001208-première maraude.eml";"Item";"0000001208-première maraude.eml"
"Inbox/0000001209-PV de l_Assemblée générale_ cotisations et clubs.eml";"Item";"0000001209-PV de l'Assemblée générale, cotisations et clubs.eml"
"Inbox/0000001210-club rando.eml";"Item";"0000001210-club rando.eml"
"Inbox/0000001220-Re_ Перевод текста Л. Волынского.eml";"Item";"0000001220-Re_ Перевод текста Л. Волынского.eml"
"Inbox/0000001222-cours d_Olivier Guyotjeannin.eml";"Item";"0000001222-cours d'Olivier Guyotjeannin.eml"
"Inbox/0000001223-Bibliothèque de l_ENC - Offre de vacation - novembre_décembre 2019.eml";"Item";"0000001223-Bibliothèque de l'ENC - Offre de vacation - novembre_décembre 2019.eml"
"Inbox/0000001240-Rentrée du club jeux (bis).eml";"Item";"0000001240-Rentrée du club jeux (bis).eml"
"Inbox/0000001241-Appels à Initiatives Etudiantes (AIE).eml";"Item";"0000001241-Appels à Initiatives Etudiantes (AIE).eml"
"Inbox/0000001260-Votre candidature à l_offre de stage 2019-271093 - Ambassade de France à Port-Louis (Ile Maurice).eml";"Item";"0000001260-Votre candidature à l'offre de stage 2019-271093 - Ambassade de France à Port-Louis (Ile Maurice).eml"
"Inbox/0000001261-Rappel _ AG du syndicat mercredi midi.eml";"Item";"0000001261-Rappel _ AG du syndicat mercredi midi.eml"
"Inbox/0000001271-RE_ Votre candidature à l_offre de stage 2019-271093 - Ambassade de France à Port-Louis (Ile Maurice).eml";"Item";"0000001271-RE_ Votre candidature à l'offre de stage 2019-271093 - Ambassade de France à Port-Louis (Ile Maurice).eml"
"Inbox/0000001272-Re_ PV de l_Assemblée générale_ cotisations et clubs.eml";"Item";"0000001272-Re_ PV de l'Assemblée générale, cotisations et clubs.eml"
"Inbox/0000001286-AP1_ AP3_ M1TNAH - cours de M. Guyotjeannin (semaines 1 à 6).eml";"Item";"0000001286-AP1, AP3, M1TNAH - cours de M. Guyotjeannin (semaines 1 à 6).eml"
"Inbox/0000001300-Le ravitaillement du jour.eml";"Item";"0000001300-Le ravitaillement du jour.eml"
"Inbox/0000001320-Re_ Renseignements MAE.eml";"Item";"0000001320-Re_ Renseignements MAE.eml"
"Inbox/0000001322-Re_ Fin des cours été 2020.eml";"Item";"0000001322-Re_ Fin des cours été 2020.eml"
"Inbox/0000001324-rappel_ conférence de Goran Proot sur le prix du livre à Paris au XVIe s.eml";"Item";"0000001324-rappel_ conférence de Goran Proot sur le prix du livre à Paris au XVIe s.eml"
"Inbox/0000001325-Soirée d_Halloween.eml";"Item";"0000001325-Soirée d'Halloween.eml"
"Inbox/0000001340-Newsletter rentrée 2019.eml";"Item";"0000001340-Newsletter rentrée 2019.eml"
"Inbox/0000001341-Cours n° 411 - séance du 23 octobre 2019.eml";"Item";"0000001341-Cours n° 411 - séance du 23 octobre 2019.eml"
"Inbox/0000001342-Programme du séminaire du master Humanités numériques.eml";"Item";"0000001342-Programme du séminaire du master Humanités numériques.eml"
"Inbox/0000001360-Cours de M. Guyotjeannin.eml";"Item";"0000001360-Cours de M. Guyotjeannin.eml"
"Inbox/0000001361-2e Atelier de l_Ademec _ emploi_ cv et lettre de motivation.eml";"Item";"0000001361-2e Atelier de l'Ademec _ emploi, cv et lettre de motivation.eml"
"Inbox/0000001407-Mardi 29 octobre.eml";"Item";"0000001407-Mardi 29 octobre.eml"
"Inbox/0000001420-Service Transcriptions - réf. Cornuaille.eml";"Item";"0000001420-Service Transcriptions - réf. Cornuaille.eml"
"Inbox/0000001421-Service Transcriptions - réf. Prouvost.eml";"Item";"0000001421-Service Transcriptions - réf. Prouvost.eml"
"Inbox/0000001422-Conférence aux Bernardins - Invitation des Captifs.eml";"Item";"0000001422-Conférence aux Bernardins - Invitation des Captifs.eml"
"Inbox/0000001423-Fwd_ Précisions - Devoir de diplomatique médiévale.eml";"Item";"0000001423-Fwd_ Précisions - Devoir de diplomatique médiévale.eml"
"Inbox/0000001424-Recrutement l_Union PSL.eml";"Item";"0000001424-Recrutement l'Union PSL.eml"
"Inbox/0000001425-Compte-rendu du conseil d_administration du mercredi 16 octobre 2019.eml";"Item";"0000001425-Compte-rendu du conseil d'administration du mercredi 16 octobre 2019.eml"
"Inbox/0000001426-Ravitaillement !.eml";"Item";"0000001426-Ravitaillement !.eml"
"Inbox/0000001427-Rando.eml";"Item";"0000001427-Rando.eml"
"Inbox/0000001428-cotisations.eml";"Item";"0000001428-cotisations.eml"
"Inbox/0000001440-Service Transcriptions - réf. Mettaie.eml";"Item";"0000001440-Service Transcriptions - réf. Mettaie.eml"
"Inbox/0000001441-Lancement de l_opération #IlEstBoMonBuro.eml";"Item";"0000001441-Lancement de l'opération #IlEstBoMonBuro.eml"
"Inbox/0000001442-Re_ Lancement de l_opération #IlEstBoMonBuro.eml";"Item";"0000001442-Re_ Lancement de l'opération #IlEstBoMonBuro.eml"
"Inbox/0000001444-Re_ Renseignements MAE.eml";"Item";"0000001444-Re_ Renseignements MAE.eml"
"Inbox/0000001445-Soirée du Club Jeux - Rentrée du Club Jeux Vidéos.eml";"Item";"0000001445-Soirée du Club Jeux - Rentrée du Club Jeux Vidéos.eml"
"Inbox/0000001460-INFO RESS@ BENC _ Enquête auprès des usagers de la bibliothèque - PLUS QUE 2 JOURS !!!.eml";"Item";"0000001460-INFO RESS@ BENC _ Enquête auprès des usagers de la bibliothèque - PLUS QUE 2 JOURS !!!.eml"
"Inbox/0000001465-Re_ Traduction séance 5 ancien français.eml";"Item";"0000001465-Re_ Traduction séance 5 ancien français.eml"
"Inbox/0000001467-Re_ Renseignements MAE.eml";"Item";"0000001467-Re_ Renseignements MAE.eml"
"Inbox/0000001471-Jeu 14 nov_ 18h _ conférence à l_École « Habiller en latin. La traduction de vernaculaire en latin entre Moye.eml";"Item";"0000001471-Jeu 14 nov, 18h _ conférence à l'École « Habiller en latin. La traduction de vernaculaire en latin entre Moye.eml"
"Inbox/0000001472-Séance Halloween du Ciné-Chartes _ 7 nov. 17h30.eml";"Item";"0000001472-Séance Halloween du Ciné-Chartes _ 7 nov. 17h30.eml"
"Inbox/0000001473-Cours n° 411 - support de cours du 30_10_2019.eml";"Item";"0000001473-Cours n° 411 - support de cours du 30_10_2019.eml"
"Inbox/0000001474-Diapositives cours d_édition - méthodes computationnelles.eml";"Item";"0000001474-Diapositives cours d'édition - méthodes computationnelles.eml"
"Inbox/0000001475-La Lettre d’information de l’École des chartes - novembre 2019.eml";"Item";"0000001475-La Lettre d’information de l’École des chartes - novembre 2019.eml"
"Inbox/0000001480-Formation continue _ calendrier des activités.eml";"Item";"0000001480-Formation continue _ calendrier des activités.eml"
"Inbox/0000001481-Fwd_ Annonce logement.eml";"Item";"0000001481-Fwd_ Annonce logement.eml"
"Inbox/0000001483-christine.benevent@chartes.psl.eu sent you files via WeTransfer.eml";"Item";"0000001483-christine.benevent@chartes.psl.eu sent you files via WeTransfer.eml"
"Inbox/0000001484-christine.benevent@chartes.psl.eu sent you files via WeTransfer.eml";"Item";"0000001484-christine.benevent@chartes.psl.eu sent you files via WeTransfer.eml"
"Inbox/0000001500-#IlEstBôMonBuro.eml";"Item";"0000001500-#IlEstBôMonBuro.eml"
"Inbox/0000001507-Randonnée de dimanche (3 novembre).eml";"Item";"0000001507-Randonnée de dimanche (3 novembre).eml"
"Inbox/0000001544-Re_ Devoir Diplomatique.eml";"Item";"0000001544-Re_ Devoir Diplomatique.eml"
"Inbox/0000001580-PSL _ Conférence _Comment faire les choix techniques dans la transition environnementale __.eml";"Item";"0000001580-PSL _ Conférence _Comment faire les choix techniques dans la transition environnementale __.eml"
"Inbox/0000001600-Photos.eml";"Item";"0000001600-Photos.eml"
"Inbox/0000001601-report du cours d_anglais du 5 novembre.eml";"Item";"0000001601-report du cours d'anglais du 5 novembre.eml"
"Inbox/0000001602-Soirée Club Jeux.eml";"Item";"0000001602-Soirée Club Jeux.eml"
"Inbox/0000001603-Re_ Cours de M. Guyotjeannin.eml";"Item";"0000001603-Re_ Cours de M. Guyotjeannin.eml"
"Inbox/0000001604-Prochaine soirée BDE.eml";"Item";"0000001604-Prochaine soirée BDE.eml"
"Inbox/0000001620-Soirée jeux de société.eml";"Item";"0000001620-Soirée jeux de société.eml"
"Inbox/0000001644-La Plume à Chartes - Contributions.eml";"Item";"0000001644-La Plume à Chartes - Contributions.eml"
"Inbox/0000001645-Remerciements de Christine Nougaret _ École des chartes.eml";"Item";"0000001645-Remerciements de Christine Nougaret _ École des chartes.eml"
"Inbox/0000001660-Un ravitaillement un peu particulier.eml";"Item";"0000001660-Un ravitaillement un peu particulier.eml"
"Inbox/0000001661-Comédie française.eml";"Item";"0000001661-Comédie française.eml"
"Inbox/0000001662-AP3_M1 TNAH _ Examens écrits.eml";"Item";"0000001662-AP3_M1 TNAH _ Examens écrits.eml"
"Inbox/0000001680-Cours 6 Diplomatique moderne.eml";"Item";"0000001680-Cours 6 Diplomatique moderne.eml"
"Inbox/0000001681-Fwd_ SIMI_Save the date_Conférence Urgence Climatique #VilleNature.eml";"Item";"0000001681-Fwd_ SIMI_Save the date_Conférence Urgence Climatique #VilleNature.eml"
"Inbox/0000001700-RE_ Votre candidature à l_offre de stage 2019-271093 - Ambassade de France à Port-Louis (Ile Maurice).eml";"Item";"0000001700-RE_ Votre candidature à l'offre de stage 2019-271093 - Ambassade de France à Port-Louis (Ile Maurice).eml"
"Inbox/0000001707-Undelivered Mail Returned to Sender.eml";"Item";"0000001707-Undelivered Mail Returned to Sender.eml"
"Inbox/0000001708-École nationale des chartes _ cérémonie commémorative du 11 novembre.eml";"Item";"0000001708-École nationale des chartes _ cérémonie commémorative du 11 novembre.eml"
"Inbox/0000001720-Rectificatif_ AP3_M1 TNAH _ Examens écrits.eml";"Item";"0000001720-Rectificatif_ AP3_M1 TNAH _ Examens écrits.eml"
"Inbox/0000001740-Fwd_ Réunion recrutement de l_Union PSL.eml";"Item";"0000001740-Fwd_ Réunion recrutement de l'Union PSL.eml"
"Inbox/0000001741-quelques ressources en ligne.eml";"Item";"0000001741-quelques ressources en ligne.eml"
"Inbox/0000001742-Service transcriptions - réf. Moussu.eml";"Item";"0000001742-Service transcriptions - réf. Moussu.eml"
"Inbox/0000001743-Élections PSL - appel à candidatures.eml";"Item";"0000001743-Élections PSL - appel à candidatures.eml"
"Inbox/0000001762-budget participatif antony.eml";"Item";"0000001762-budget participatif antony.eml"
"Inbox/0000001763-Fwd_ Réunion recrutement de l_Union PSL.eml";"Item";"0000001763-Fwd_ Réunion recrutement de l'Union PSL.eml"
"Inbox/0000001765-Une boite à gâteaux au foyer!.eml";"Item";"0000001765-Une boite à gâteaux au foyer!.eml"
"Inbox/0000001766-Rectificatif_ AP3_M1 TNAH _ Examens écrits.eml";"Item";"0000001766-Rectificatif_ AP3_M1 TNAH _ Examens écrits.eml"
"Inbox/0000001781-Soirée du Club Jeux_ Pour ce soir un p_tit changement !.eml";"Item";"0000001781-Soirée du Club Jeux_ Pour ce soir un p'tit changement !.eml"
"Inbox/0000001782-AP1_ M1 - rencontre avec les départements de la BNF - 29 novembre.eml";"Item";"0000001782-AP1, M1 - rencontre avec les départements de la BNF - 29 novembre.eml"
"Inbox/0000001783-Re_ Demande de renseignements.eml";"Item";"0000001783-Re_ Demande de renseignements.eml"
"Inbox/0000001800-Cours n° 411 - support de cours du 6 novembre 2019.eml";"Item";"0000001800-Cours n° 411 - support de cours du 6 novembre 2019.eml"
"Inbox/0000001820-Conseil d_Administration du BD2E.eml";"Item";"0000001820-Conseil d'Administration du BD2E.eml"
"Inbox/0000001826-6 novembre 2019 - Parution du décret de création de l_université PSL.eml";"Item";"0000001826-6 novembre 2019 - Parution du décret de création de l'université PSL.eml"
"Inbox/0000001827-Quelques infos.eml";"Item";"0000001827-Quelques infos.eml"
"Inbox/0000001857-Re_ Renseignements stage M1 TNAH.eml";"Item";"0000001857-Re_ Renseignements stage M1 TNAH.eml"
"Inbox/0000001882-Re_ Renseignements stage M1 TNAH.eml";"Item";"0000001882-Re_ Renseignements stage M1 TNAH.eml"
"Inbox/0000001920-Devoir de culture numérique.eml";"Item";"0000001920-Devoir de culture numérique.eml"
"Inbox/0000001921-Fwd_ Devoir de Canteaut.eml";"Item";"0000001921-Fwd_ Devoir de Canteaut.eml"
"Inbox/0000001922-Fwd_ Proposition de classement d_archives.eml";"Item";"0000001922-Fwd_ Proposition de classement d'archives.eml"
"Inbox/0000001923-report du cours d_anglais du 12 novembre.eml";"Item";"0000001923-report du cours d'anglais du 12 novembre.eml"
